@context,@type,@type1,ratingValue,@type2,name,reviewBody,@context1,@type3,name1,sameAs,date
https://schema.org/,Review,Rating,5,Person,Current Employee - Production Engineer,Great people!,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Dec 17, 2023"
https://schema.org/,Review,Rating,4,Person,Former Employee - Engineer,Definitely one of the better employers,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Jan 17, 2024"
https://schema.org/,Review,Rating,4,Person,Former Employee - Customer Service Representative (CSR),ExxonMobil review,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Jan 3, 2024"
https://schema.org/,Review,Rating,2,Person,Current Employee - Reference Librarian,"Okay, not great",https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Dec 18, 2023"
https://schema.org/,Review,Rating,5,Person,Current Employee - Engineer,Great Company to be Challenged and Grow,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Nov 18, 2023"
https://schema.org/,Review,Rating,5,Person,Former Employee - Student Assistant,Good Place To Work,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Nov 27, 2023"
https://schema.org/,Review,Rating,3,Person,Former Employee - IT Analyst,Good place to learn,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Oct 20, 2023"
https://schema.org/,Review,Rating,4,Person,Former Employee - Anonymous Employee,Great company to work for,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Oct 8, 2023"
https://schema.org/,Review,Rating,1,Person,Former Employee - Technical Support,Toxic company,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Sep 7, 2023"
https://schema.org/,Review,Rating,3,Person,Former Employee - Performance Coach,Challenging but a great place to learn,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Sep 12, 2022"
https://schema.org/,Review,Rating,5,Person,Former Employee - Accounts Receivable Specialist,Recommend,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Jul 30, 2023"
https://schema.org/,Review,Rating,5,Person,Former Employee - Engineer,Engineer,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Jun 28, 2023"
https://schema.org/,Review,Rating,5,Person,Current Employee - Technical Support Engineer,nice time,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Jun 28, 2023"
https://schema.org/,Review,Rating,5,Person,Current Employee - Financial Analyst,Great company to work for,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"May 18, 2023"
https://schema.org/,Review,Rating,3,Person,Former Employee - Shipment Management Coordinator,Salary,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Apr 23, 2023"
https://schema.org/,Review,Rating,2,Person,Former Employee - Anonymous Employee,"Work overload, low salary",https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Mar 17, 2023"
https://schema.org/,Review,Rating,3,Person,Former Employee - Documentation Specialist,Good and bad,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Feb 25, 2023"
https://schema.org/,Review,Rating,4,Person,Former Employee - Anonymous Employee,Great company,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Nov 4, 2022"
https://schema.org/,Review,Rating,5,Person,Former Employee - Facilities Engineer,Working for ExxonMobil,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Jan 8, 2023"
https://schema.org/,Review,Rating,5,Person,Former Employee - Customer Account Specialist,Great company,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Jan 13, 2023"
https://schema.org/,Review,Rating,2,Person,Current Employee - Anonymous Employee,Just okay,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Nov 15, 2022"
https://schema.org/,Review,Rating,5,Person,Former Employee - Project Execution Engineer,Great work culture and focus on safety,https://schema.org/,Organization,ExxonMobil,http://corporate.exxonmobil.com,"Sep 26, 2022"
