@context,@type,@type1,ratingValue,@type2,name,reviewBody,@context1,@type3,name1,sameAs,date
https://schema.org/,Review,Rating,4,Person,Former Employee - Digital Transformation Lead,Great Company with great people,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 17, 2024"
https://schema.org/,Review,Rating,3,Person,Current Employee - Store Clerk,Pretty good,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 28, 2024"
https://schema.org/,Review,Rating,2,Person,Former Employee - Cost Engineer,Chevron,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 22, 2024"
https://schema.org/,Review,Rating,4,Person,Current Employee - Operator,Operator,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 26, 2024"
https://schema.org/,Review,Rating,5,Person,Current Employee - Analyst,Good,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 25, 2024"
https://schema.org/,Review,Rating,4,Person,Current Employee - Analyst,Great,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 25, 2024"
https://schema.org/,Review,Rating,4,Person,Former Employee - Sr Learning and Development Specialist,Good Company Horrible Boss,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 19, 2024"
https://schema.org/,Review,Rating,5,Person,Current Employee - Operations,Great,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 22, 2024"
https://schema.org/,Review,Rating,3,Person,Current Employee - Paralegal,Good to obtain experience,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 19, 2024"
https://schema.org/,Review,Rating,3,Person,Current Employee - Operator,Good place to make money,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 22, 2024"
https://schema.org/,Review,Rating,1,Person,Former Employee - Cashier,Okay,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 25, 2024"
https://schema.org/,Review,Rating,5,Person,Former Employee - Manager,Na,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 20, 2024"
https://schema.org/,Review,Rating,5,Person,Former Employee - Trading Analyst,Good position ,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 17, 2024"
https://schema.org/,Review,Rating,4,Person,Current Employee - IT Manager,Great place to work,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 17, 2024"
https://schema.org/,Review,Rating,5,Person,Current Employee - Land Representative,Great company,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 15, 2024"
https://schema.org/,Review,Rating,5,Person,Current Employee - Night Clerk,Oh yeah,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 16, 2024"
https://schema.org/,Review,Rating,5,Person,Current Employee - Cashier,Great Employer,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 14, 2024"
https://schema.org/,Review,Rating,4,Person,Former Employee - Cashier,Good Job to get started,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 11, 2024"
https://schema.org/,Review,Rating,2,Person,Former Employee - Sr Financial Analyst,They don't care,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Dec 29, 2023"
https://schema.org/,Review,Rating,5,Person,Former Employee - Data Science Intern,Gre,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 13, 2024"
https://schema.org/,Review,Rating,5,Person,Current Employee - Software Engineer,best company,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 10, 2024"
https://schema.org/,Review,Rating,4,Person,Current Employee - Contract Advisor,Contract Advisor,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 11, 2024"
https://schema.org/,Review,Rating,5,Person,Current Employee - Tanker charterer,Excellent company,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 9, 2024"
https://schema.org/,Review,Rating,4,Person,Former Employee - Business Analyst,Good work ethics,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 9, 2024"
https://schema.org/,Review,Rating,5,Person,Former Employee - Information Mentor,RoK,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 9, 2024"
https://schema.org/,Review,Rating,1,Person,Current Employee - Customer Service Representative (CSR),Corporate store,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Dec 26, 2023"
https://schema.org/,Review,Rating,5,Person,Former Employee - Learning and Development,Good company,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 5, 2024"
https://schema.org/,Review,Rating,5,Person,Current Employee - Application Engineer,Application Engineer,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Jan 1, 2024"
https://schema.org/,Review,Rating,4,Person,Current Employee - Commercial Analyst,Company treats people well,https://schema.org/,Organization,Chevron,http://www.chevron.com,"Dec 29, 2023"
https://schema.org/,Review,Rating,2,Person,Former Employee - IT Team Leader,"US Centric, Overseas Employees get Limited Opportunities",https://schema.org/,Organization,Chevron,http://www.chevron.com,"Dec 26, 2023"
https://schema.org/,Review,Rating,4,Person,Current Employee - HR Specialist,"Good, diverse company",https://schema.org/,Organization,Chevron,http://www.chevron.com,"Dec 27, 2023"
